vin_1_10,state,city,county,ev_type,make,model,Sum of model_year
WVGUNPE2XN,WA,Seattle,King,Battery Electric Vehicle (BEV),VOLKSWAGEN,ID.4,2022
WVWKP7AU2G,WA,Seattle,King,Battery Electric Vehicle (BEV),VOLKSWAGEN,E-GOLF,2016
WVWKP7AU4G,WA,Seattle,King,Battery Electric Vehicle (BEV),VOLKSWAGEN,E-GOLF,2016
WVWKR7AU6K,WA,Seattle,King,Battery Electric Vehicle (BEV),VOLKSWAGEN,E-GOLF,2019
WVWKR7AU8K,WA,Snohomish,Snohomish,Battery Electric Vehicle (BEV),VOLKSWAGEN,E-GOLF,2019
WVWKR7AUXK,WA,Kent,King,Battery Electric Vehicle (BEV),VOLKSWAGEN,E-GOLF,2019
WVWPP7AU7F,WA,Seattle,King,Battery Electric Vehicle (BEV),VOLKSWAGEN,E-GOLF,2015
WVWPR7AU4K,WA,Seattle,King,Battery Electric Vehicle (BEV),VOLKSWAGEN,E-GOLF,2019
WVWPR7AU8K,WA,Olympia,Thurston,Battery Electric Vehicle (BEV),VOLKSWAGEN,E-GOLF,2019
YSMEG3KA1P,WA,Olympia,Thurston,Battery Electric Vehicle (BEV),POLESTAR,PS2,2023
YV4BC0PL5G,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),VOLVO,XC90,2016
YV4BK0DP8L,WA,Kenmore,King,Plug-in Hybrid Electric Vehicle (PHEV),VOLVO,XC60,2020
YV4BR00KXN,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),VOLVO,XC90,2022
YV4BR00L0M,WA,Sammamish,King,Plug-in Hybrid Electric Vehicle (PHEV),VOLVO,XC90,2021
YV4BR00L1M,WA,Bothell,Snohomish,Plug-in Hybrid Electric Vehicle (PHEV),VOLVO,XC90,2021
YV4BR0CL2K,WA,Bainbridge Island,Kitsap,Plug-in Hybrid Electric Vehicle (PHEV),VOLVO,XC90,2019
YV4BR0DL0L,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),VOLVO,XC60,2020
YV4BR0DL9L,WA,Shoreline,King,Plug-in Hybrid Electric Vehicle (PHEV),VOLVO,XC60,2020
YV4ED3GM4P,WA,Seattle,King,Battery Electric Vehicle (BEV),VOLVO,C40,2023
YV4ED3UB6N,WA,Bothell,Snohomish,Battery Electric Vehicle (BEV),VOLVO,XC40,2022
YV4ED3UR3N,WA,Vancouver,Clark,Battery Electric Vehicle (BEV),VOLVO,XC40,2022
YV4H60CZ8N,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),VOLVO,XC90,2022
YV4H60DL0N,WA,Olympia,Thurston,Plug-in Hybrid Electric Vehicle (PHEV),VOLVO,XC60,2022
